,age_group,partyid_3cat,libcon,trump_therm,harris_therm
0,45-54,Republican,6. Conservative,85.0,0.0
1,35-44,Independent,4. Moderate; middle of the road,50.0,50.0
2,35-44,Democrat,2. Liberal,0.0,85.0
6,35-44,Independent,4. Moderate; middle of the road,100.0,0.0
10,55-64,Democrat,4. Moderate; middle of the road,0.0,60.0
11,25-34,Republican,5. Slightly conservative,100.0,0.0
12,35-44,Democrat,4. Moderate; middle of the road,0.0,70.0
14,55-64,Democrat,3. Slightly liberal,0.0,60.0
15,55-64,Democrat,3. Slightly liberal,0.0,70.0
17,35-44,Republican,6. Conservative,100.0,0.0
21,45-54,Republican,5. Slightly conservative,71.0,2.0
24,45-54,Republican,4. Moderate; middle of the road,50.0,0.0
25,45-54,Democrat,2. Liberal,0.0,85.0
27,55-64,Democrat,3. Slightly liberal,0.0,80.0
29,25-34,Democrat,2. Liberal,0.0,40.0
33,45-54,Republican,7. Extremely conservative,100.0,0.0
34,55-64,Republican,6. Conservative,85.0,0.0
36,35-44,Democrat,3. Slightly liberal,15.0,70.0
43,45-54,Democrat,4. Moderate; middle of the road,25.0,70.0
45,55-64,Republican,7. Extremely conservative,85.0,60.0
46,35-44,Democrat,4. Moderate; middle of the road,0.0,85.0
48,35-44,Democrat,2. Liberal,0.0,70.0
49,35-44,Democrat,3. Slightly liberal,60.0,30.0
50,45-54,Democrat,5. Slightly conservative,0.0,70.0
52,35-44,Democrat,1. Extremely liberal,0.0,85.0
54,65+,Democrat,4. Moderate; middle of the road,0.0,70.0
63,45-54,Democrat,4. Moderate; middle of the road,30.0,85.0
64,45-54,Democrat,1. Extremely liberal,0.0,100.0
65,45-54,Democrat,2. Liberal,0.0,85.0
66,45-54,Democrat,4. Moderate; middle of the road,0.0,100.0
67,35-44,Democrat,4. Moderate; middle of the road,30.0,85.0
68,35-44,Democrat,3. Slightly liberal,0.0,40.0
70,25-34,Republican,5. Slightly conservative,30.0,30.0
71,35-44,Republican,5. Slightly conservative,60.0,15.0
72,25-34,Republican,6. Conservative,70.0,0.0
74,65+,Republican,5. Slightly conservative,100.0,0.0
76,55-64,Democrat,4. Moderate; middle of the road,0.0,70.0
77,45-54,Democrat,3. Slightly liberal,0.0,100.0
