partyid,id,libcon,age,biden_likes,biden_dislikes,trump_likes,trump_dislikes,mipp_1
7. Strong Republican,200015,6. Conservative,46,NA,nothing about socalisum that will get my vote,belife in a republic government and freedom,NA,racim both for blacks and whites false information
4. Independent,200022,4. Moderate; middle of the road,37,NA,He wants to take womens rights,NA,NA,coming together as a country
3. Independent-Democrat,200039,2. Liberal,40,He is not Donald Trump.,NA,NA,"He is a racist, xenophobic, misogynistic, narcissistic, ignorant bully who is deeply, dangerously unqualified to hold the office of president of the United States.",severe political polarization that does not allow for compromise or growth
6. Not very strong Republican,200046,3. Slightly liberal,41,he look honest and his politics history.,NA,NA,"racism, equality and human Rights",pandemic (covid-19)
4. Independent,200053,5. Slightly conservative,72,NA,"Open borders, late term abortion, war in middle east, hate for Israel, Green New Deal, Kill all oil jobs, Love for China and Iran and Russia.","No war, No open borders, Bring troops home, Love for Israel and Israel-UAE incredible deal, Manufacturing in USA, School choice, Buy American","Ridiculous Covid 19 shutdown, lots of evidence that it is not severe unless you are over 70 with multiple bad health issues","globalism, Fake covid, law and order, BLM, public education, socialism, businesses being destroyed by globalist governors"
3. Independent-Democrat,200060,4. Moderate; middle of the road,71,he is NOT Donald Trump !!!!!!,NA,NA,"He is a criminal, liar, cheat, thief, and BULLY",pandemic. we need to control it.  Biden has ideas.  Trump had garbage.
6. Not very strong Republican,200084,4. Moderate; middle of the road,37,he has been in gov for almost 50 yrs and was vice for 8 and did not change anything,NA,NA,NA,racism.. poverty
6. Not very strong Republican,200091,99. Haven't thought much about this,45,NA,NA,NA,NA,jobs homeless covid19
4. Independent,200107,99. Haven't thought much about this,70,he is wanting to do things to help the people of the US.,NA,NA,His political views on subjects,lack of leadership
2. Not very strong Democrat,200114,99. Haven't thought much about this,43,NA,NA,has made total mockery of our government and of rhe american people,doesnt take his position seriously its all a joke to him,covid-19 viruslack of vaccine and not being able to control
1. Strong Democrat,200121,99. Haven't thought much about this,37,Candidato adecuado para liderar un pais.,NA,NA,Que es una persona primero que todo egoista y extremadamente racista con mucho odio hacia los emigrantes de otros paises especialmente los latinos. Alguien que no ha sabido manejar esta pandemia no se ha tomado prevenciones como tiene que ser para reducir los casos de contagios etc. No es una personada adecuada e inteligente para liderar un pais. Es prepotente e irrespetuoso hacia las mujeres y los demas. en fin creo que si sigo no terminaria nunca.,El racismo.....
2. Not very strong Democrat,200138,4. Moderate; middle of the road,55,NA,NA,NA,He is unprofessional and the biggest liar I know of.,"economy, virus, division"
7. Strong Republican,200152,6. Conservative,30,NA,n/a,I'm on my Trump $***!,NA,everything
2. Not very strong Democrat,200169,3. Slightly liberal,38,Everything he stands for.,NA,NA,Everthing he stands for.,"racism, discrimination, wealth gap/income inequality, political polarization, covid-19, access to affordable and quality healthcare and education, FDA and pooor OTC supplement regulation, internet addication, high drug abuse, etc."
3. Independent-Democrat,200176,4. Moderate; middle of the road,41,He is very intuned with his voters and their point of view,I am concerned about his capabilities to continue a strong successful campaign,He has been consistent,His attitude is overpowering his decisions,Tatic in policing guncontrol
5. Independent-Republican,200183,6. Conservative,66,NA,He is a puppet to the Democrat's. He is not trustworthy. He is not for the Real Americans and he opposes the 2nd amendments! Right to Bear arms!,He is working for the Americans not the illegal's,NA,Pandemic and jobs
3. Independent-Democrat,200190,3. Slightly liberal,54,NA,NA,NA,"ineffective leader with none of the leadership skills or maturity needed to run the country during good times, never mind during this current time.","Covid response, unemployment,"
1. Strong Democrat,200206,3. Slightly liberal,55,"He is a well intentioned, kind man.  I feel he will surround himself with smart young future leaders and get the country back on track both domestically and globally",NA,NA,"I feel he is not a leader.  He is driven by selfish goals.  His constant mean spirited comments and name calling is a very poor example to everyone, but horrible for our children",Income inequality
1. Strong Democrat,200220,2. Liberal,62,Joe Biden promises to fight to protect and expand Medicare and Medicaid; Joe Biden will try to improve access to affordable and quality health care. Joe Biden will be a better leader for our country and strengthen  relationships with world leaders.,"Overall, this country needs a new leader.",NA,NA,"covid-19 pandemic,the economy,racial issues/divided country."
2. Not very strong Democrat,200244,3. Slightly liberal,80. Age 80 or older,He supports racial and social equality,NA,Lack of understanding of social issues,NA,The pandemic.  Too many people are not following the guidelines and therefore the virus is out of control.  It is overloading our healthcare facilities and the education of our children as well as leaving many Americans out of work.
7. Strong Republican,200268,6. Conservative,31,NA,Incompetent and senile.,"Stock market has never been higher, will bring the most money to myself and my family and provide a better overall life for me",NA,Coronavirus response and reviving the damaged economy from unecessary shutdowns
1. Strong Democrat,200275,4. Moderate; middle of the road,80. Age 80 or older,"Health care initiatives, fight for equality","His stance on pro-abortion. As a Catholic, I am pro-life.",NA,"He has proven these last 4 years to be incompetent un managing foreign affairs and relationships, managing the US economy and policies, and keeping Americans divided.","Health care access for all, immigration,  equality and rights amongst people of color"
3. Independent-Democrat,200282,2. Liberal,24,he is an adult with a brain,Neoliberal economic policies,NA,"Foreign policy, coronavirus response, nepotism graft and corruption",Income Inequality. Climate Change. Unaccountable representatives.
7. Strong Republican,200305,6. Conservative,55,NA,NA,"ProLife, Immigration Reform, Manufacturing Jobs back to the United States",NA,Lack of Manufacturing Facilities in the US
2. Not very strong Democrat,200312,99. Haven't thought much about this,59,NA,leyes de inmigración,NA,leyes de inmigración,"Desigualdad de paga en trabajos entre clases sociales y sexos, racismo, cobertura medica que puede ser mejorada, y immigracion."
1. Strong Democrat,200329,2. Liberal,73,"Honest, empathetic, NOT Trump",NA,NA,Everything.  I cannot think of anything he has done right,Covid19 and pathetic leadership from white house
5. Independent-Republican,200343,99. Haven't thought much about this,72,NA,values not per my Christian belief.,he gets the jobs done.,NA,"polution, climate control, sex trafficing, constituional rights for us all."
5. Independent-Republican,200374,5. Slightly conservative,50,NA,NA,NA,NA,Pandemic help
6. Not very strong Republican,200381,5. Slightly conservative,66,Honesty. I don't feel that I have to question everything that comes out of his mouth unlike Trump.,Serious mental incapacity.,Dishonesty and a litany of other things.,"Dishonesty, extremely poor leadership on Covid-19, increasing divisiveness in government, use of office for personal gain, etc.",Covid; Very poor coordination of effort in fighting the disease. President seemed at odds with everyone who did not espouse his idea of the minute.
1. Strong Democrat,200404,4. Moderate; middle of the road,41,free health coverage,politics all lie and don't tell the truth so will joe,NA,he lies about things and makes it seem as he doesn't do anything wrong and everyone else does although everybody does wrong,insurance medical issues and having peace with one another
4. Independent,200411,99. Haven't thought much about this,52,NA,NA,NA,NA,None
4. Independent,200435,4. Moderate; middle of the road,45,NA,"Not only is he creepy, he is once again another in a long line of figureheads being used as a puppet to distract the public from the real work being done through special interest groups and lobbyist's. He will regurgitate the same tired lines as any other candidate the DNC decides they want to use and then act according to what interests the real powers we as Americans are not allowed to see.",NA,Have you seen this fucking guy?,our government using violence and propaganda to enforce their will upon the people
1. Strong Democrat,200442,2. Liberal,46,"Biden has a moral compass, is ethical and cares about the issues I care about. Biden has also been in office for decades and has experience with negotiating, being fair and bringing intelligent argument to issuses.",NA,NA,"There are many reasons why I'd NEVER vote for Trump. He is a phony, fake, lying unintelligent, narcissistic, childlike, immature, unethical, bigoted, racist, sexist, unqualified despicable excuse for a human being. He puts his own interests before country. He takes care of his cronies at the cost of the hard working average American. He trusts Putin over our own intelligence agency. And he does not care about the environment.",Social unrest...we are a divided nation no thanks to the dumpster Trump
7. Strong Republican,200459,6. Conservative,66,NA,"career politician that has done nothing. as vp in the obama administration, the country in my  opinion was at an all time low",strong economy. law and order and against illegal immigration,NA,the pr0gressive agenda headed towards socialism
2. Not very strong Democrat,200466,2. Liberal,60,good at considering all opinions and facts,NA,NA,Antagonistic to large parts of our population,COVID controlling it
7. Strong Republican,200473,99. Haven't thought much about this,73,NA,i think he is having memory issues and that his vp would quickly step into his place and i dont think she is qualified to be acting as President,i think he loves our country and will do things that will help our country remain a good place to live. i think he is dedicated to improve our image worldwide and that he cares about the welfare of our citizens.  i do not want to be a socialist country and i think the democratic party is headed that way.,NA,lack of respect or tolerance of others opinions
1. Strong Democrat,200480,99. Haven't thought much about this,71,He has the backing of a women that will help in the time of trouble that arises.,His age since so many people his age hearts are failing them because of stress added with COVID-19.,NA,The president seems to not know where he wants to lead this country and that's not a good feeling for us in the United states.,combating the spreading of this covid-19
3. Independent-Democrat,200497,1. Extremely liberal,28,He is not Trump,He is a moderate whereas I am progressive.,NA,"-crimes perpetrated against America and american citizens (defunding postal service to make it harder to vote absentee, sending federal troops to states experiencing civil unrest, making deals with foreign (enemy) parties to meddle in the american electoral process)-foreign policy is a mess: estranges allies and emboldens enemies (i.e. china)-disgraceful response to COVID-19 pandemic-policy goals are completely antithetical to my own beliefs-does not properly represent america in an international setting-white supremacist/fascist tendencies-the country will not be able to bear the damage of another 4 years of trump rule",Two-party system
1. Strong Democrat,200503,1. Extremely liberal,73,"honesty, experience, fairness, intelligence, affability - for a start",NA,NA,"narcissism, attitude towards women, racism, stupidity, lack of morals - for a start",4 years of trumpdismantling of the climate accordsthe widening gap between rich and poorthe failing social net
7. Strong Republican,200510,6. Conservative,-9. Refused,NA,"Taxes, the new green deal, foreign policy , totally incom","Economy,Foreign affairs ,cvid-19 to name a few.",NA,"covid -19,"
7. Strong Republican,200527,6. Conservative,37,NA,He is a creep. I don't have the same political views as his party on the majority of issues.,"He's not Joe Biden. He's socially nuts, but economically a great business man. He represents the political beliefs I lean towards.",NA,"political unrest, media bias, COVID-19, true equality and reform"
1. Strong Democrat,200534,4. Moderate; middle of the road,56,He’s not Donald Trump,NA,NA,He doesn’t listen to anyone. Run the Country like its his own personnel company. Throws trantrum like a child. He’s done illegal things and everyone just looks the other way. This Nation has so much hate in it because of what he says. I pray that God touch his heart and remove the evil the comes out of his mouth,NA
7. Strong Republican,200541,7. Extremely conservative,48,NA,his lack of mental capacity,Opposition to democrats socialist agenda,NA,economy
7. Strong Republican,200558,7. Extremely conservative,53,NA,"Political beliefs, not logically driven, he's confused and doesn't tell the truth, he's inappropriate with women","Business Acumen - created jobs, kept job in USA, built wall, supports immigration laws, economy boom, good interpersonal skills with China and Korea, honest",NA,"Jobs, Immigration, Health Care Reform"
5. Independent-Republican,200565,3. Slightly liberal,72,NA,age/dementia  He has signs of old age with his mind.  I think he is a pawn for the democratic to pass their agendas.   He is inconsistant.,Trump shows interest and action for US.  Economy was booming before Covid.  He has done so many good things for people and communities that the news will not talk about.  I see action for the country.  Israel for one.,NA,the division happening.  demensional shifting is exhausting yet fun.  need the news to offer sone good stories to lift the spirit of the masses.  global anger needs to simmer down with love.
7. Strong Republican,200589,6. Conservative,55,NA,NA,He is not a pussy,NA,The new president
1. Strong Democrat,200596,2. Liberal,79,his health plan,NA,NA,repeal obamacare,"virus, presidential transition"
3. Independent-Democrat,200602,3. Slightly liberal,38,He believes in science (climate change),NA,NA,"he is a liar, he is ignorant, he does not believe in climate change, his policy benefits wealthy and not poor.  He does not work well with our allies. He had a terrible Covid response.  He was rightfully impeached. He used the Mail for a political game.  I believe he would cheat to stay president.  He is a racist, who oversaw inhumane treatment of undocumented immigrants and asylum seekers.  He bullies people/states/countries that do not agree with his policies.",Climate Change is dangerous and the government is not doing enough to combat it
7. Strong Republican,200626,4. Moderate; middle of the road,42,NA,political party,political party,NA,lack of integrity and unrest society
3. Independent-Democrat,200633,6. Conservative,70,Highly experienced in government and uniquely qualified to be President.,NA,NA,Long history of bad and unscrupulous business deals. And he lies. Lives in a 5 minute bubble where he'll do anything to win it and moves on.,Dealing with the Pandemic.
1. Strong Democrat,200640,4. Moderate; middle of the road,50,he seems like a president that has a heart for the american people and he cares about the day to day of the american people.,NA,NA,tactics used seems to benefit the rich and not the poor or middle class.,COVID-19unemploymentglobal warming
1. Strong Democrat,200671,2. Liberal,50,He is honest. He is intelligent. He will assemble a team of people who are concerned about the overall good of the country and not just one demographic of the country. He will turn away from nationalism and make us citizens of the world again.,NA,NA,"He is a racist. He is not at all informed about the rights, documents and laws upon which this country is founded. He is self-serving. He is believes in and promotes conspiracy theories.","Among the many, perhaps the most important is the refusal to agree on verifiable facts."
4. Independent,200688,4. Moderate; middle of the road,27,he seems to have his head put together a lot better than our president now donald trump,NA,even though he seems a little crazy some things he does get down to alot faster than any other president ive ever seen,he has a big mouth i think he acts like he is better than everyone else,NA
7. Strong Republican,200695,99. Haven't thought much about this,62,NA,everything about him makes me not want to vote for him,"strong, wants the best for america",NA,everything is needing fixed
4. Independent,200701,4. Moderate; middle of the road,51,NA,He can't keep his stories straight and has made his career in politics,He has not made politics a career,NA,socialists no more to say
7. Strong Republican,200718,6. Conservative,60,NA,Career politician.  He got rich as a public servant.  List of accomplishments is weak.,"Financially conservative, compared to others.  Low taxes low regulation.  Constitutionally conservative.",His manor is wanting.  he is not very diplomatic or presidential,NA
1. Strong Democrat,200725,3. Slightly liberal,65,Empathy. An understanding that scientists know more about a pandemic than you do as the President. He isn’t mean spirited and so defensive about everything.,I would have prefered an option of ‘Maybe’. I believe more in Pro-life than I do Pro-choice. I’m blessed to never have been in the position of having to choose.,NA,"His attitude of always being on the defensive. Just always tell the truth. Him calling women ‘Nasty’.—-No need to be mean, just leave it alone.",Trump not concedeing presidency and causing division. no other president ever acted like a spoiled brat before
3. Independent-Democrat,200732,3. Slightly liberal,-9. Refused,"honest, competent, well-intentioned and can begin the journey of healing this fractured country",NA,NA,"dishonest, corrupt, immoral, incompetent","Getting the Covid pandemic under control so we can get back to having functioning lives, economy, etc."
6. Not very strong Republican,200749,4. Moderate; middle of the road,48,more more honest and reliable,NA,NA,NA,government is messed up
5. Independent-Republican,200756,6. Conservative,55,NA,"he has leaned way to far towards the left and socialism. he has no agendas that he has spoke about other than to say he will raise taxes, to cover a 4 trillion dollar spending plan.",economy and backing of police,NA,election process
4. Independent,200763,5. Slightly conservative,54,NA,NA,NA,too divisive.  not handling pandemic well,Covid.  No clear direction to country.  cases continue to increase
2. Not very strong Democrat,200770,4. Moderate; middle of the road,38,He is not TRUMP,NA,NA,He is what is ruining this country.  He is impulsive and does things that HE believes is correct.  He does not take into consideration the voice of the people.,wealth gap racism
1. Strong Democrat,200787,2. Liberal,80. Age 80 or older,"knowledgeable, compassionate, collegial, experienced",NA,NA,"He's a cool, uneducated, unsophisticated, indifférent, cruel  etc.","absence of serious health insurance programs, poverty, xenophobia, MAGA prejudices, sinful lack of international coopération, mistreatment of children -- food, health, imprisonment at the border, complètement disfunctional government with Republicans and their anti-democratic behavior"
2. Not very strong Democrat,200794,2. Liberal,37,"He seems to want to help the American people, unlike Trump who only cares about himself.",NA,NA,Absolutely everything that he has said and done while president. It is all despicable.,"Spread of disease, climate change, increasing numbers of poor people (no more middle class) aka: the working poor, number of jobs that provide enough wealth to live on, food supply shortage, cost of healthcare, cost of education, systemic racism, biased news outlets, a two-party system of government that does not allow for other views/parties to break into the mainstream (for example: two-party debates) and has become extrememly divided along those party ideals."
3. Independent-Democrat,200800,2. Liberal,38,To get Trump out of office.,His willingness to create real change.,NA,"He is a demagogue that runs off the fear, ignorance, and anger of the populace.",Covid crisis is out of control. No planning.
5. Independent-Republican,200817,4. Moderate; middle of the road,60,he speaks to the people and their families and he is not ALL ABOUT HIM like TRUMP is!! It's the people's HOUSE not Trump's!!!,NA,NA,POMPOUS ASS!! He lies just like a child. Every chance when he talks he spews crap and nonsensical crap he pulls from the peanut shell of a brain.,Race Issues With local and federal police
3. Independent-Democrat,200824,5. Slightly conservative,46,he has decency. he would try and unify the country thats been torn apart by Trump and he would be far better at keeping peace with other nations.,NA,NA,he’s dividing the country. He has no decency and no morals. and i’m shocked that Christians continue to support him.,the division that trump has caused in this country and around the world.
1. Strong Democrat,200831,1. Extremely liberal,78,His is not Donald Trump.,He is not Bernie Sanders.,NA,"He is racist, sexist, greedy, evil, insane, capitalist and an overall douche bag.",Global warming is the most serious issue facing the entire planet
1. Strong Democrat,200855,2. Liberal,39,"He has experience with the executive branch from when he was vice-president, he is a man of good character, and he will surround himself with smart people who will help him make good decisions.",NA,NA,"He only wants to be president to enrich himself and doesn't care about others, he fans the flames of racial hatred, he actively works against democracy.","Climate change poses an existential threat to our species, and solving it will be complicated. It's already causing problems for me, like the smoke I breathed all fall."
2. Not very strong Democrat,200862,2. Liberal,33,healthcare reform.,NA,NA,"Racisim, Sexism, and his handling kf Covid-19 pandemic.","the wealth gap, systematic racism, criminal justice system, the school system, global warming, health care, student loan debt."
1. Strong Democrat,200879,2. Liberal,74,"His reasonable stance, truthfulness, and his views on stopping climate change",NA,NA,NA,Enviromental degradation
2. Not very strong Democrat,200886,3. Slightly liberal,61,He has good values,NA,NA,His all I care about me attitude.   He just sets a bad example for young people to look up to.,covid and our politcal system.  we need to work together.
1. Strong Democrat,200893,99. Haven't thought much about this,67,He seems honest,NA,NA,he lies he changes story. calls women names,division between blacks and whites and the police
2. Not very strong Democrat,200909,99. Haven't thought much about this,60,that he is not donald Trump,NA,NA,he's a bully and a liar,covid 19 people are dying
7. Strong Republican,200916,6. Conservative,-9. Refused,NA,2nd amendment rightsDefunding policeSupporting BLM,pro second amendment pro lifeeconomy was doing very well before Covid 19pro military pro law enforcement,NA,"The election resultsCovid 19BLM Constant protests,riots"
4. Independent,200947,99. Haven't thought much about this,21,NA,NA,NA,his politics abd his demeanor,racism is the biggest problem
1. Strong Democrat,200954,4. Moderate; middle of the road,49,"bidin, will make sure everyone will stay having health insurance, making sure we people have jobs, making sure people still have food stamps  so there families can have food","i believe  that bidin would make sure everyone  will help everyone  out , about health insurance,  an etc.",NA,NA,race ..people need to accept biracial couples  an gays
1. Strong Democrat,200985,2. Liberal,80. Age 80 or older,"I agree basically with his approach to the next four years. He will be a calmer and less of a disrupter than Donald Trump. I am tired of the chaos and lying and hyperbole that he twits out every day. He has done nothing to bring people together after Obama's administration which really started the breakdown division and culture wars. Also on a policy note he did nothing for the infrastructure of our nation, added to the debt with the gift to the wealthiest Americans (I did agree the corporate tax was high ) but 35% to 21% was not necessary (I may be incorrect on those numbers ). He fed into the racism which was already there, when people say ""this is not who we are"" my wife always adds ""this is really who we are."" He chose family over qualified people and chose wealthy friends to head up agencies like the environment, etc, As for the Pandemic, he did not nationalize the response, and his attitude was to show off for his base, not wearing masks, etc. He has only cared about his base. I could go on and on. Lack of knowledge how government works and little inclination to learn from experts. Let us not forget the Ukraine attempted bribe. etc etc and unusual favoring of depots Putin etc","Biden was not my first choice as I wanted someone younger. However, he is knowlegeable ab out how government works and should work. He is reasonably honest, (all politicians spin) and I don't think he will feed the culture wars. I am hoping he is (for a politician) modest enough to choose qualified good people to run our government agencies and positions. I think he is a fair man and will be better for our country.",NA,NA,"The Pandemic  wish masks were mandated and observed People don't follow the rules about social distancing masks gatherings etc ,"
5. Independent-Republican,201001,4. Moderate; middle of the road,70,NA,Ill health. No management skills. He lies instead.,I know what I'm getting; good management.,NA,Dishonesty in Media
1. Strong Democrat,201025,5. Slightly conservative,70,hes down to earth  kind of guy...seems  honest..i think he will make America  great ...,NA,NA,he lies tooo much...he doesn't  seem honest...im tired of his bragging...hes just not the right  candidate...im not happy at all with him,racist  ..we've  of course  had it before but i believe  it got worse  with Donald Trump
5. Independent-Republican,201032,5. Slightly conservative,72,NA,his choose for vice president and her altra liberal leaning,economy and stock market growth since taking office,his excessive use of tweeter and comments posted,division between parties
7. Strong Republican,201063,7. Extremely conservative,78,NA,He isn’t mentally stable which shows in his few times he’s spoken on TV.  Also his ideas are so are so far to the left it is SO SCARY for America.  I don’t want America to become a Socialist country.  I want my America back after seeing all that theDemocrats are doing to our cities.  They want to tell we Americans how to live our lives in every area of our lives!,"He has been able to keep so many of the things he promised us before his election.  IN SPITE OF THE DEMOCRATS FIGHTING HIM EVERY STEP OF THE WAY.  The media has become a part of the Dems, they never report Anything positive about our President.  He has been totally disrespected by all of the Democrats and the Media.",NA,Politically divided country and media plus almost all news lets don’t report news cirrectly ir fair!
1. Strong Democrat,201070,2. Liberal,43,NA,age,NA,his handling of the corona virus the morals and values he lacks,Covid 19 pandemic EconomyHealth Care
4. Independent,201087,99. Haven't thought much about this,45,He seems to understand what needs to be done to repair and undo the things that are unjust in this nation,NA,NA,His blatant disregard for humanity's well being,Police Brutality Coronavirus Education
2. Not very strong Democrat,201094,3. Slightly liberal,44,"Previous VP, international relationships, proven record, deep empathy for many marginalized groups.",NA,NA,"driving derision and division in our country, remarks against veterans, rape accusations, disrespectful to international leaders, name-calling, racist, fake Christianity, hyposcrisy.",Systemic Racism in all areas of government and education and financial opportunties
1. Strong Democrat,201100,4. Moderate; middle of the road,50,truth in how he feels and sees our people and the well being of the country,NA,NA,"bad attitude, choice of words and integrity.",money and health care
4. Independent,201117,4. Moderate; middle of the road,-9. Refused,"His character, the life he has lived and what he has been thru.",NA,"He has run the country into shambles, lied and is not lgbtq friendly",Refer to the last question,Covid 19 deaths
3. Independent-Democrat,201124,3. Slightly liberal,33,He’s not Donald Trump.,NA,NA,Everything. He’s incapable of telling the truth. He only cares about himself and not for the good of our country. He’s a racist,Donald Trump inciting people over the election and constantly lying about literally everything.
7. Strong Republican,201131,99. Haven't thought much about this,55,NA,He was Vice President to Obama,I completely believe President Trump loves America and will do whatever it takes to protect and stand up for this country.  If you're illegal get the hell out!,NA,"Hate, rioting, illegal aliens"
6. Not very strong Republican,201155,5. Slightly conservative,28,NA,NA,My father's and brother's jobs are beneffited by a Republican being in office. I want to see them do well.,He's unstable. I think he leads with his emotions.,1. COVID2. Racial Issues3. Tax Increases from Welfare
7. Strong Republican,201179,5. Slightly conservative,34,NA,His economic policy,economic policy,NA,"I think the conflict and violence we're experiencing is the largest problem we are facing.  People can't just be kind and ""love thy neighbor.""  Elections tend to bring out the worst in people, but this year proved to be worse than anything I've witnessed.  Common courtesy and normal human behavior have completely dissipated. I am continually disappointed with mankind when I turn on the news, and I don't understand why people can't just act like a mensch and treat others the way they would want to be treated."
7. Strong Republican,201186,2. Liberal,24,NA,NA,"plans to end looting and violence, plans for law enforcement",NA,"covid, violence, economy"
7. Strong Republican,201193,7. Extremely conservative,26,NA,"He doesnt even know where he is half the time, is saying he could control natural disasters, he wants to turn our country into a socialist country.","He actually cares about this country. He has done exactly what he said he would do and brought back thousands of jobs back to America. He supports our military, our rights, our freedom.",NA,Voting fraud and the lefts agenda
