date,locality,state,location_detail,online,type,title,macroevent,actors,organizations,participants,claims,valence,issues,issues_major,size_text,size_low,size_high,size_mean,size_cat,arrests,arrests_any,injuries_crowd,injuries_crowd_any,injuries_police,injuries_police_any,property_damage,property_damage_any,chemical_agents,participant_measures,police_measures,participant_deaths,police_deaths,source_1,source_2,source_3,source_4,source_5,source_6,source_7,source_8,source_9,source_10,source_11,source_12,source_13,source_14,source_15,source_16,source_17,source_18,source_19,source_20,source_21,source_22,source_23,source_24,source_25,source_26,source_27,source_28,source_29,source_30,notes,lat,lon,resolved_locality,resolved_county,resolved_state,fips_code
2023-09-19,Washington,DC,U.S. Capitol,0,rally,NA,NA,ROC United; Work & Family CA; Food Chain Workers Alliance; Paid Leave for All; National Employment Law Project; CLASP; Main Street Alliance; National Domestic Workers Alliance; Jobs With Justice; Oxfam America; elected officials,ROC United; Work & Family CA; Food Chain Workers Alliance; Paid Leave for All; National Employment Law Project; CLASP; Main Street Alliance; National Domestic Workers Alliance; Jobs With Justice; Oxfam America,elected officials,"for a Restaurant Workers Bill of Rights, for safer workplaces and better benefits and fair pay for restaurant workers, stop the other NRA, restaurant workers Bill of Rights, time to rest and recharge, universal healthcare",0,healthcare; labor; legislative,labor; legislative,count pic,50,60,55,1,NA,0,NA,0,NA,0,NA,0,0,NA,NA,NA,NA,https://twitter.com/rocunited/status/1704147446010393023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"may have been press conference, erring on side of inclusion; feat. Rashida Tlaib",38.9071923,-77.0368707,Washington,District of Columbia,DC,11001
2020-06-27,Harrisburg,PA,Hall Manor,0,protest,NA,NA,general protesters,NA,NA,antiracism; against police brutality,1,policing; racism,NA,count pic,20,35,28,1,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,https://www.pennlive.com/news/2020/06/young-activists-march-through-harrisburg-neighborhood-things-need-to-change.html,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.273191,-76.886701,Harrisburg,Dauphin County,PA,42043
2024-04-24,New Milford,CT,Town Green,0,demonstration,NA,NA,NA,NA,NA,"against overturning Roe v. Wade, for reproductive rights, for women's rights",1,judiciary; reproductive rights; women's rights,judiciary; reproductive rights; women's rights,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA,NA,NA,NA,https://map.wewontgoback.com/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,every Wednesday since early May 2022,41.577043,-73.408546,New Milford,Litchfield County,CT,09005
2017-02-21,Carbondale,IL,outside Rep. Michael Bost's (R) office,0,demonstration,NA,NA,general protestors,NA,NA,pro-ACA; press Bost to hold town hall,1,healthcare,NA,nearly 100,100,100,100,2,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,http://www.kfvs12.com/story/34562786/protesters-gather-outside-rep-bosts-office-in-support-of-aca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.727273,-89.21675,Carbondale,Jackson County,IL,17077
2023-09-22,Kenosha,WI,39th Ave and Roosevelt Rd,0,rally,NA,NA,Grace Lutheran Church; Fridays for Future,Grace Lutheran Church; Fridays for Future,NA,for climate action,1,environment,environment,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA,NA,NA,NA,https://journaltimes.com/kenosha-lutheran-to-mark-one-year-of-climate-justice-rallies-friday/article_9c9290d0-b3a4-11ed-88e2-c33225525aa7.html,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,every Friday since February 2022,42.584742,-87.821185,Kenosha,Kenosha County,WI,55059
2021-09-22,Washington,DC,Tidal Basin,0,direct action,NA,NA,Extinction Rebellion DC,Extinction Rebellion DC,NA,"for climate action, it's do or die",1,environment,environment,NA,NA,NA,NA,0,1.0,1,NA,0,NA,0,NA,0,0,dumped tiny house into Tidal Basin,NA,NA,NA,https://twitter.com/FordFischer/status/1440668663976058886,https://twitter.com/FordFischer/status/1440666786085572625,https://wtop.com/gallery/dc/climate-activists-partially-sink-model-row-home-in-dcs-tidal-basin/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.9071923,-77.0368707,Washington,District of Columbia,DC,11001
2020-06-19,Cobb,GA,NAACP Office to Marietta Square,0,march,NA,NA,general protesters,NA,NA,antiracism; against police brutality; commemorate Juneteenth,1,policing; racism,NA,NA,NA,NA,NA,0,0.0,0,0.0,0,0.0,0,0.0,0,NA,NA,NA,NA,NA,https://www.mdjonline.com/multimedia/hundreds-march-from-cobb-naacp-office-to-marietta-square-for-juneteenth/video_b0969092-b283-11ea-aeab-63b2dd1e4967.html,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.9590772,-83.9884612,Cobb,Sumter County,GA,13261
2018-12-01,Greenfield,MA,Greenfield Common,0,vigil,NA,NA,NA,NA,NA,for peace,0,military,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA,NA,NA,NA,https://www.recorder.com/Roughly-30-convene-for-vigil-recognizing-77th-anniversary-of-Hiroshima-Nagasaki-bombings-47507635,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,every Saturday since September 2002,42.587915,-72.59941,Greenfield,Franklin County,MA,25011
2022-08-06,Harrisonburg,VA,Love Park,0,vigil,NA,NA,Shenandoah Valley Antiwar Coalition,Shenandoah Valley Antiwar Coalition,NA,"for peace in Ukraine, against war",0,foreign affairs; military,foreign affairs; military,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA,NA,NA,NA,https://www.whsv.com/2022/03/20/peace-vigil-ukraine-continues-harrisonburg/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,every Saturday during war,38.449569,-78.868916,Harrisonburg,NA,VA,51660
2022-09-17,Boulder,CO,Canyon Blvd and Broadway,0,demonstration,NA,NA,Rocky Mountain Peace & Justice Center,Rocky Mountain Peace & Justice Center,NA,for ending all U.S. wars,0,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA,NA,NA,NA,https://www.rmpjc.org/calendar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,every Saturday since August 2021,40.014986,-105.270546,Boulder,Boulder County,CO,08013
