State,Party,Cook PVI Score
NV,R,R+7
IN,R,R+17
OH,R,R+7
MI,R,R+9
FL,R,R+8
GA,D,D+6
UT,R,R+26
OR,D,D+24
IN,R,R+9
FL,R,R+7
IN,R,R+15
CA,R,R+9
GA,R,R+9
TX,D,D+10
RI,D,D+14
MO,D,D+7
OK,R,R+20
GA,R,R+31
VA,D,D+15
CA,R,R+9
CA,D,D+15
TX,R,R+11
TX,D,D+9
UT,R,R+25
IL,D,D+38
CO,D,D+21
WA,D,D+6
FL,D,D+6
MI,D,D+14
NY,D,D+24
KS,R,R+15
NE,R,R+11
HI,D,D+19
FL,R,R+22
WI,R,R+7
OH,R,R+8
TX,D,D+7
AZ,R,R+21
LA,R,R+19
KY,R,R+19
MO,R,R+17
NY,D,D+11
NC,R,R+7
NY,D,D+36
SD,R,R+14
TX,D,D+29
OH,D,D+14
PA,R,R+11
WA,D,D+6
IL,R,R+8
TN,R,R+19
IL,R,R+15
RI,D,D+6
CT,D,D+12
OH,R,R+11
IL,D,D+6
CA,D,D+24
OK,R,R+27
NY,D,D+31
KS,R,R+24
CA,D,D+21
TX,R,R+9
MA,D,D+9
WV,R,R+19
WA,R,R+8
PA,R,R+19
MI,R,R+13
MI,R,R+10
NY,D,D+8
MA,D,D+6
OK,R,R+24
CO,D,D+9
NJ,D,D+13
TX,R,R+10
MS,R,R+21
CA,D,D+23
NJ,D,D+16
NJ,D,D+36
CO,D,D+6
CA,D,D+6
ME,D,D+8
IL,D,D+20
NM,D,D+8
NY,R,R+6
TN,R,R+28
FL,R,R+13
MD,D,D+11
IL,D,D+27
FL,R,R+17
OH,D,D+7
IL,D,D+10
AZ,R,R+9
GA,R,R+15
WI,R,R+13
AL,D,D+20
CA,D,D+18
NJ,R,R+8
PA,R,R+10
CA,D,D+27
OH,R,R+7
TX,R,R+13
CA,D,D+21
PA,R,R+13
CO,R,R+6
NY,D,D+7
MD,D,D+6
NY,D,D+38
MO,R,R+8
MI,R,R+7
IN,R,R+11
FL,R,R+7
KS,R,R+10
VT,D,D+15
OH,R,R+9
SC,R,R+12
FL,R,R+9
AK,R,R+9
