Currency,date,value,fmt_date,value_numeric
Chinese yuan,"January 03,2023",6.892800,2023-01-03,6.8928
Chinese yuan,"January 04,2023",6.891200,2023-01-04,6.8912
Chinese yuan,"January 05,2023",6.874700,2023-01-05,6.8747
Chinese yuan,"January 06,2023",6.863000,2023-01-06,6.863
Chinese yuan,"January 09,2023",6.779000,2023-01-09,6.779
Chinese yuan,"January 10,2023",6.783800,2023-01-10,6.7838
Chinese yuan,"January 11,2023",6.772500,2023-01-11,6.7725
Chinese yuan,"January 12,2023",6.757300,2023-01-12,6.7573
Chinese yuan,"January 13,2023",6.714300,2023-01-13,6.7143
Chinese yuan,"January 17,2023",6.768100,2023-01-17,6.7681
Chinese yuan,"January 18,2023",6.774100,2023-01-18,6.7741
Chinese yuan,"January 19,2023",6.778700,2023-01-19,6.7787
Chinese yuan,"January 20,2023",6.774800,2023-01-20,6.7748
Chinese yuan,"January 23,2023",NA,2023-01-23,NA
Chinese yuan,"January 24,2023",NA,2023-01-24,NA
Chinese yuan,"January 25,2023",NA,2023-01-25,NA
Chinese yuan,"January 26,2023",NA,2023-01-26,NA
Chinese yuan,"January 27,2023",NA,2023-01-27,NA
Chinese yuan,"January 30,2023",6.752300,2023-01-30,6.7523
Chinese yuan,"January 31,2023",6.752900,2023-01-31,6.7529
Euro (1),"January 03,2023",1.054500,2023-01-03,1.0545
Euro (1),"January 04,2023",1.059900,2023-01-04,1.0599
Euro (1),"January 05,2023",1.060100,2023-01-05,1.0601
Euro (1),"January 06,2023",1.050000,2023-01-06,1.05
Euro (1),"January 09,2023",1.069600,2023-01-09,1.0696
Euro (1),"January 10,2023",1.072300,2023-01-10,1.0723
Euro (1),"January 11,2023",1.074700,2023-01-11,1.0747
Euro (1),"January 12,2023",1.077200,2023-01-12,1.0772
Euro (1),"January 13,2023",1.081400,2023-01-13,1.0814
Euro (1),"January 17,2023",1.084300,2023-01-17,1.0843
Euro (1),"January 18,2023",1.083900,2023-01-18,1.0839
Euro (1),"January 19,2023",1.081500,2023-01-19,1.0815
Euro (1),"January 20,2023",1.082600,2023-01-20,1.0826
Euro (1),"January 23,2023",1.087100,2023-01-23,1.0871
Euro (1),"January 24,2023",1.085800,2023-01-24,1.0858
Euro (1),"January 25,2023",1.087800,2023-01-25,1.0878
Euro (1),"January 26,2023",1.089500,2023-01-26,1.0895
Euro (1),"January 27,2023",1.086500,2023-01-27,1.0865
Euro (1),"January 30,2023",1.090300,2023-01-30,1.0903
Euro (1),"January 31,2023",1.083300,2023-01-31,1.0833
Japanese yen,"January 03,2023",NA,2023-01-03,NA
Japanese yen,"January 04,2023",130.960000,2023-01-04,130.96
Japanese yen,"January 05,2023",132.050000,2023-01-05,132.05
Japanese yen,"January 06,2023",133.640000,2023-01-06,133.64
Japanese yen,"January 09,2023",NA,2023-01-09,NA
