wdi_gdp_pcap,wdi_total_pop,wdi_unemployment,wdi_gdp_growth,wdi_resource_rents,wdi_oil_rents,wdi_life_expectancy,e_regionpol_6C,v2cltrnslw,country_text_id,v2xme_altinf,v2clacfree,v2clkill,v2clrspct,v2clfmove,v2clprptyw,v2svdomaut,v2xnp_regcorr,v2xpe_exlsocgr,v2csrlgrep,v2meharjrn,v2pepwrsoc,v2dlencmps,v2xel_frefair,v2elsnlsff,v2xdl_delib,v2xeg_eqdr,v2clpolcl,v2peedueq,v2peasbgen,v2smpolsoc,v2xpe_exlgender,v2clsocgrp,v2xpe_exlecon,v2cacamps,v2caassemb,v2caautmob,v2castate,v2csantimv,v2lginvstp,v2xcl_disc,v2elsuffrage,v2x_delibdem,v2xcl_rol,v2x_egaldem,v2x_elecreg,v2exrescon,v2elrsthos,v2svindep,v2x_pubcorr,v2x_execorr,v2elprescons,v2elprescumul,v2x_clphy,v2x_accountability,v2xcl_prpty,v2x_regime,v2xex_elecreg,v2x_mpi,v2strenarm,v2ex_hosw,v2peapssoc,e_regionpol,v2clacjust,v2clrelig,v2smorgviol,v2x_ex_hereditary,v2x_ex_military,v2x_ex_party,v2x_ex_direlect,v2x_ex_confidence,v2xpe_exlpol,v2meslfcen,v2x_clpriv,v2peasbegeo,v2regdur,v2x_libdem,v2cltort,v2csreprss,v2exagehos,v2xcl_dmove,v2xcl_slave,v2ellocgov,v2xcl_acjst,v2x_liberal,v2expathhs,v2x_egal,v2xlg_elecreg,cname,year,any_attacks,number_attacks_last_year
529.144912477888,38972230,11.71,-2.3511006734461,0.305978171646739,0.00517761905886768,62.575,6,-0.04,AFG,0.823,0.609,0.163,-0.477,0.906,0.463,0.412,0.839,0.773,1.219,-0.392,0.528,0.146,0.175,-1.73,0.68,0.269,0.107,-0.963,-0.81,-1.337,0.823,0.215,0.775,0.172,1.003,-0.08,0.853,0.942,0.61,0.676,100,0.285,0.417,0.189,1,0.461,0,1,0.809,0.799,5,5,0.521,0.301,0.624,1,1,0.077,-0.217,1,-0.768,8,0.68,-0.744,-2.506,0,0.125,0.125,1,0.333,0.687,0.819,0.469,1.038,5818,0.197,0.064,1.461,1949,0.265,0.63,1,0.309,0.422,7,0.401,1,Afghanistan,2020,yes,2604
4418.66087378292,2837849,12.833,-3.30208203862541,0.775369617467959,0.582225701330423,76.989,1,1.104,ALB,0.628,0.911,3.188,0.405,2.036,1.611,1.703,0.806,0.235,2.414,0.526,1.516,0.442,0.479,-0.29,0.437,0.732,1.556,1.276,1.396,-0.341,0.234,1.99,0.307,-0.514,1.204,-1.355,-0.619,0.196,1.343,0.884,100,0.26,0.899,0.364,1,0.154,1,1,0.668,0.844,0,0,0.931,0.806,0.845,1,0,0.249,0.889,0,0.753,1,0.902,1.97,0.475,0,0,0.214,0,0.667,0.377,0.558,0.919,0.809,10127,0.417,1.267,1.444,1969,0.916,0.892,1,0.884,0.816,6,0.691,1,Albania,2020,yes,1
3873.50874565769,43451666,14.036,-5.09999999763123,14.0343770936226,9.03841379679424,74.453,3,0.304,DZA,0.586,0.08,0.748,-1.188,0.311,1.262,0.913,0.665,0.342,-0.459,0.355,0.784,-0.356,0.229,-1.089,0.495,0.713,-0.139,1.367,0.36,-0.583,0.322,1.027,0.338,-0.79,-0.192,1.01,0.714,1.309,-0.313,0.6,100,0.189,0.59,0.254,1,-1.148,0,1,0.611,0.642,6,11,0.607,-0.158,0.761,1,1,0.036,0.541,1,1.008,3,1.437,-1.067,-0.714,0,0.5,0,1,0,0.473,0.277,0.63,-0.258,4066,0.152,0.181,-1.136,1945,0.792,0.797,1,0.629,0.37,7,0.696,1,Algeria,2020,yes,4
2435.02485749107,33428486,16.698,-5.63821471714934,20.2476653863539,18.5719595053837,62.261,4,0.019,AGO,0.579,0.058,1.125,-0.103,0.614,0.285,1.927,0.506,0.662,0.14,0.328,-0.116,-0.337,0.255,1.81,0.39,0.215,0.919,-1.354,0.066,0.614,0.498,0.08,0.773,-0.423,0.501,-1.589,1.482,-0.02,-0.569,0.623,100,0.183,0.561,0.145,1,-0.369,1,1,0.636,0.501,0,1,0.618,0.081,0.568,1,0,0.088,0.897,1,-0.268,4,-1.504,0.083,0.506,0,0.5,0.333,0,0,0.598,0.997,0.6,-1.429,3632,0.177,-0.136,-0.245,1954,0.757,0.591,1,0.543,0.374,6,0.278,1,Angola,2020,no,1
11346.6521128461,45376763,11.46,-9.9004848136464,1.42962432529499,0.677055565819106,75.892,2,0.834,ARG,0.795,2.291,2.365,1.326,1.366,2.345,1.862,0.419,0.134,2.485,2.055,1.804,0.787,0.887,-0.732,0.823,0.691,3.128,0.68,2.111,-2.298,0.082,0.921,0.339,1.936,2.42,-0.871,-0.645,-0.757,1.274,0.962,100,0.686,0.868,0.637,1,0.516,1,1,0.336,0.395,10,23,0.915,1.44,0.922,2,1,0.722,0.148,1,1.507,2,1.035,2.498,0.738,0,0,0.05,1,0,0.065,2.359,0.889,0.915,13211,0.667,1.775,1.934,1959,0.823,0.749,1,0.753,0.79,7,0.74,1,Argentina,2020,yes,5
4256.13122785453,2805608,12.18,-7.19999999920631,2.4219055107181102,0,72.173,1,1.543,ARM,0.891,1.605,2.639,1.025,1.847,2.494,0.469,0.313,0.043,1.662,1.078,2.75,2.157,0.902,-0.656,0.78,0.789,2.61,1.215,1.139,-0.805,0.303,2.521,0.246,1.418,0.581,1.344,-0.863,-0.551,0.022,0.926,100,0.625,0.903,0.645,1,1.161,0,1,0.269,0.303,8,8,0.928,1.304,0.942,2,1,0.666,-1.078,0,1.413,1,1.98,0.857,-0.745,0,0.071,0.214,0,0.333,0.148,1.444,0.907,0.791,617,0.587,1.769,2.336,1953,0.912,0.879,1,0.82,0.707,6,0.812,1,Armenia,2020,no,0
58082.4265799182,25649248,6.46,-0.33468635945016,6.09315865556076,0.108188865636013,83.2,5,1.886,AUS,0.912,2.255,3.022,3.377,1.769,2.197,1.939,0.034,0.034,2.558,2.156,1.599,2.254,0.936,1.012,0.927,0.864,3.031,1.829,2.73,0.449,0.038,1.429,0.02,-0.806,2.335,-2.218,-2.141,-2.273,2.986,0.964,100,0.781,0.956,0.723,1,3.031,1,1,0.016,0.034,0,0,0.957,1.752,0.894,3,0,0.77,1.493,0,2.981,5,1.882,2.304,-0.443,0,0,0,0,1,0.011,2.088,0.898,2.518,42936,0.81,2.12,1.887,1953,0.822,0.825,1,0.975,0.963,1,0.835,1,Australia,2020,yes,5
43343.9718951136,8916864,5.2,-6.63299143662553,0.07085049948111,0.0172756920777442,81.1926829268293,5,2.271,AUT,0.908,2.599,2.84,2.756,1.746,2.024,1.848,0.041,0.075,1.071,2.219,1.719,1.739,0.93,1.79,0.852,0.957,2.934,2.431,2.494,0.095,0.047,1.975,0.045,-0.062,3.149,-0.546,-1.857,-0.93,1.744,0.976,100,0.714,0.952,0.763,1,1.648,1,1,0.085,0.039,18,18,0.977,1.543,0.855,3,1,0.742,0.882,0,2.933,5,3.188,0.85,-0.381,0,0,0.125,0,0.667,0.041,0.827,0.848,1.751,27290,0.756,3.073,2.299,1944,0.807,0.898,1,0.951,0.911,7,0.926,1,Austria,2020,no,4
5083.56025445721,10093121,7.24,-4.30000010230737,13.0027347945894,11.1476827315754,66.868,1,-0.812,AZE,0.088,-1.354,1.3,-1.241,-0.482,0.72,0.74,0.948,0.579,-1.026,-0.542,-1.217,-1.437,0.081,1.31,0.07,0.14,-2.128,-1.49,0.77,-0.875,0.37,0.896,0.521,1.023,-1.466,-0.617,-0.264,-0.533,-1.889,0.29,100,0.04,0.366,0.116,1,-1.416,1,1,0.903,0.922,5,8,0.479,-0.836,0.596,1,1,0.003,-0.923,1,1.073,1,1.072,-0.593,0.798,0,0.056,0,1,0,0.841,-0.534,0.502,-0.769,9686,0.066,-1.391,-1.141,1961,0.702,0.773,1,0.244,0.165,7,0.337,1,Azerbaijan,2020,no,0
22579.3620055846,1477469,1.786,-4.64463735878491,10.7041414154858,6.69558923237194,79.174,3,-0.552,BHR,0.111,-1.886,-0.231,-1.103,-0.837,1.399,-0.707,0.74,0.934,-2.022,-1.217,-2.137,-1.033,0.215,0.153,0.218,0.797,-1.532,0.833,-0.528,-2.885,0.575,-1.798,0.518,2.068,-1.828,0.991,-0.053,-0.672,-1.478,0.253,100,0.067,0.319,0.114,1,-0.27,1,1,0.476,0.703,0,0,0.342,-0.842,0.737,0,0,0,1.403,0,0.441,3,0.103,-1.005,-0.925,0.4,0.2,0,0,0,0.811,-2.688,0.368,-0.407,3213,0.052,-0.901,-1.692,1950,0.453,0.692,1,0.261,0.16,4,0.391,1,Bahrain,2020,no,0
