ccode,country_name,number of terrorist attacks
36,Afghanistan,1453
12,Albania,1
103,Algeria,1
37,Argentina,2
67,Australia,1
24,Bangladesh,10
148,Belgium,2
52,Benin,1
19,Brazil,4
54,Burkina Faso,53
69,Burundi,6
108,Cameroon,46
66,Canada,12
71,Central African Republic,18
109,Chad,2
72,Chile,45
110,China,5
15,Colombia,76
111,Democratic Republic of the Congo,142
113,Djibouti,4
13,Egypt,11
22,El Salvador,1
161,Estonia,2
38,Ethiopia,36
76,France,19
77,Germany,13
7,Ghana,1
164,Greece,11
78,Guatemala,1
39,India,235
56,Indonesia,26
79,Iran,4
80,Iraq,547
81,Ireland,2
169,Israel,101
82,Italy,3
64,Ivory Coast,10
40,Kenya,33
43,Kosovo,1
84,Latvia,1
44,Lebanon,1
86,Liberia,2
124,Libya,8
88,Maldives,1
28,Mali,76
3,Mexico,21
57,Mozambique,41
10,Myanmar,216
58,Nepal,3
91,Netherlands,6
60,Niger,38
45,Nigeria,448
29,Pakistan,150
189,Paraguay,3
30,Peru,5
46,Philippines,104
129,Rwanda,1
197,Saudi Arabia,94
198,Serbia,1
130,Somalia,125
8,South Africa,15
32,South Sudan,14
96,Spain,2
131,Sri Lanka,1
33,Sudan,13
5,Sweden,5
6,Switzerland,2
97,Syria,144
49,Thailand,27
98,Tunisia,4
99,Turkey,14
50,Uganda,11
100,Ukraine,10
101,United Kingdom,40
20,United States,26
51,Venezuela,12
138,West Bank and Gaza Strip,42
14,Yemen,290
61,Zambia,1
