event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
CHN14984,2024-03-29,2024,1,Strategic developments,Strategic developments,Other,Civilians (China),Journalists (China),7,NA,NA,0,70,NA,156,East Asia,China,Hong Kong,NA,NA,Hong Kong,22.3222,114.177,2,Radio Free Asia,Regional,"Other: On 29 March 2024, Radio Free Asia closed its Hong Kong bureau, citing Article 23 that came into effect on 23 March (separately coded). While it would maintain its registration as a media outlet with local authorities, its full-time staff would no longer be based in Hong Kong. In February, the media outlet was referred to by the government as a 'foreign force', which Article 23 seeks to penalize.",0,NA,1712183445
CHN14983,2024-03-27,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (China),HKFTU: Hong Kong Federation of Trade Unions; Labor Group (China),6,NA,NA,0,60,NA,156,East Asia,China,Hong Kong,Central and Western,NA,Hong Kong - Central and Western,22.2811,114.1598,1,Inmediahk.net,Subnational,"On 27 March 2024, around ten taxi drivers representing the Motor Transport Workers General Union, a branch of the Federation of Trade Unions, and the Association of Taxi Administrators held placards and banners, and chanted slogans outside the government headquarters in Hong Kong - Central and Western. They demanded that the government allow them to install CCTV cameras to make sure that customers do not file complaints against them unreasonably. In December last year, the government introduced a points system based on taxi drivers' conduct, and those with low points may be suspended from operation. Customer complaints will be taken into account when determining the points that a taxi driver gets.",0,crowd size=around 10,1712183445
CHN14981,2024-03-23,2024,1,Strategic developments,Strategic developments,Other,Government of China (2017-) Hong Kong Special Administrative Region,NA,1,NA,NA,0,10,NA,156,East Asia,China,Hong Kong,NA,NA,Hong Kong,22.3222,114.177,2,HKFP,Subnational,"Other: On 23 March 2024, the Safeguarding National Security Bill (colloquially known as Article 23) came into effect in all the Hong Kong territory (coded to Hong Kong), which criminalizes treason, insurrection, sabotage against public infrastructure, foreign interference in local affairs, and theft of state secrets, carrying a maximum life sentence for conviction of the former three and a 10-year imprisonment for the latter two. The law was passed unanimously by the local legislature, including an unprecedented vote in favour by the legislature's president, who by convention had remained neutral. The law is in addition to the National Security Law passed by the National People's Congress and made effective in Hong Kong in 1 July 2020 (separately coded). While they penalized acts of similar nature, the new law gave powers to the police and courts to detain suspects before any charges were made and to restrict their access to lawyers, increased jail time for certain offences, and introduced new offences like stealing state secrets.",0,NA,1712183445
CHN14867,2024-03-16,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (China),NA,6,NA,NA,0,60,NA,156,East Asia,China,Hong Kong,Kowloon City,NA,Hong Kong - Kowloon City,22.3052,114.187,1,Inmediahk.net,Subnational,"On 16 March 2024, representatives of the Tai Hang Sai Estate Residents' Concern Group gathered to demonstrate with banners and placards in Hong Kong - Kowloon city. They demanded that they be left alone, as the government had forced them to move out of their homes for a redevelopment plan. Most of their neighbors had already complied with government orders, while they had remained.",0,crowd size=no report,1711490765
CHN14848,2024-03-07,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (China),Labor Group (China); Women (China),6,NA,NA,0,60,NA,156,East Asia,China,Hong Kong,Central and Western,NA,Hong Kong - Central and Western,22.2811,114.1598,1,HKFP,Subnational,"On 7 March 2024, representatives of the Hong Kong Women Workers' Association held banners and gathered to demonstrate outside the government headquarters in Hong Kong - Central and Western. As the International Women's Day approaches on the following day, the group demanded that the government increases maternity and paternity leave, reduces the burden of caregivers and closes gender pay gap.",0,crowd size=no report,1710267999
CHN14847,2024-03-05,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (China),NA,6,NA,NA,0,60,NA,156,East Asia,China,Hong Kong,Central and Western,NA,Hong Kong - Central and Western,22.2811,114.1598,1,HK01,Subnational,"On 5 March 2024, representatives of the Protect Hong Kong Alliance held banners outside the Consulate General of the United States, Hong Kong and Macau in Hong Kong - Central and Western. They demanded that the United States government stops interfering with Hong Kong's political affairs, after Matthew Miller, spokesperson for the Department of State, expressed concerns over the implications on freedom of speech as Hong Kong made plans to enact Article 23.",0,crowd size=no report,1710267999
CHN14685,2024-03-01,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (China),DAB: Democratic Alliance for the Betterment and Progress of Hong Kong; Government of China (2012-),6,NA,NA,0,60,NA,156,East Asia,China,Hong Kong,Central and Western,NA,Hong Kong - Central and Western,22.2811,114.1598,1,Inmediahk.net,Subnational,"On 1 March 2024, 28 representatives of the Democratic Alliance for the Betterment of Hong Kong, including lawmakers, held banners and placards outside the British Consulate Hong Kong in Hong Kong - Central and Western. On the same day, 10 representatives of the Prorect Hong Kong Campaign chanted slogans and held banners outside the United States Consulate Hong Kong in the same district. The demonstrators demanded that the United Kingdom and United States stop commenting on Hong Kong's internal affairs, after former British Prime Minister David Cameron voiced concerns over implications of freedom of speech following Hong Kong's plans to enact Article 23, and the United States nominated well-known dissidents of Hong Kong to be recipients of the Nobel Peace Prize.",0,crowd size=38,1709668834
CHN14829,2024-02-27,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (China),LSD: League of Social Democrats,6,NA,NA,0,60,NA,156,East Asia,China,Hong Kong,Central and Western,NA,Hong Kong - Central and Western,22.2811,114.1598,1,Radio Free Asia,Regional,"On 27 February 2024, three representatives of the League of Social Democrats held banners and gathered to demonstrate outside the government headquarters in Hong Kong - Central and Western. They demanded that the government reconsider enacting Article 23, which they said would violate freedom of speech.",0,crowd size=3,1709668835
CHN14677,2024-02-22,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (China),NA,6,NA,NA,0,60,NA,156,East Asia,China,Hong Kong,Wan Chai,NA,Hong Kong - Wan Chai,22.2776,114.175,1,HKFP,Subnational,"On 22 February 2024, around 10 activists held signs, chanted slogans and posed as animals in cages outside the Exhibition Centre in Hong Kong - Wan Chai, where the International Fur and Fashion Fair was held. They demanded a stop in the trade of animal fur, due to concerns about animal cruelty.",0,crowd size=around 10,1709061519
CHN14667,2024-02-13,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (China),Government of China (2017-) Hong Kong Special Administrative Region; HKFTU: Hong Kong Federation of Trade Unions; Labor Group (China),6,NA,NA,0,60,NA,156,East Asia,China,Hong Kong,Central and Western,NA,Hong Kong - Central and Western,22.2811,114.1598,1,HK01,Subnational,"On 13 February 2024, representatives of the Hong Kong Federation of Trade Unions and Love Hong Kong Alliance, including Legislative Council members, held banners and defaced the American flag outside the Consulate General of the United States, Hong Kong and Macau in Hong Kong - Central and Western. They demanded that the United States stop demonstrating its support for 'people who creates chaos for Hong Kong'. The demonstration came after Daniel Kritenbrink, the Assistant Secretary of State for East Asian and Pacific Affairs of the United States, had a meeting with four political activists who were wanted by the Hong Kong government for violating the national security law.",0,crowd size=no report,1708472101
