event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
CHN9323,01 January 2021,2021,1,Demonstrations,Protests,Peaceful protest,Protesters (China),Government of China (2017-) Hong Kong Special Administrative Region,6,NA,NA,0,60,NA,156,East Asia,China,Hong Kong,Kwai Tsing,NA,Hong Kong - Kwai Tsing,22.367,114.133,1,Radio Free Asia; HK01,Subnational-International,"On 1 January 2021, seven district councillors protested outside Kwai Chung Plaza in Kwai Tsing district (Hong Kong) (coded as Hong Kong-Kwai Tsing) for the release of all political prisoners. Similar demonstrations were held in multiple districts across Hong Kong.",0,crowd size=7,1611094731
CHN9328,01 January 2021,2021,1,Demonstrations,Protests,Peaceful protest,Protesters (China),ADPL: Hong Kong Association for Democracy and People's Livelihood; Government of China (2017-) Hong Kong Special Administrative Region,6,NA,NA,0,60,NA,156,East Asia,China,Hong Kong,Sham Shui Po,NA,Hong Kong - Sham Shui Po,22.329,114.159,1,Apple Daily Hong Kong,Subnational,"On 1 January 2021, ADPL district councillors protested outside Dragon Centre in Sham Shui Po district (Hong Kong) (coded as Hong Kong-Sham Shui Po) for the release of all political prisoners. The event was cut shortly after they were asked to leave by the police. Similar demonstrations were held in multiple districts across Hong Kong.",0,crowd size=no report,1611094731
CHN9327,01 January 2021,2021,1,Demonstrations,Protests,Peaceful protest,Protesters (China),Five Demands Movement,6,NA,NA,0,60,NA,156,East Asia,China,Hong Kong,Yau Tsim Mong,NA,Hong Kong - Yau Tsim Mong,22.32,114.169,1,Apple Daily Hong Kong,Subnational,"On 1 January 2021, citizens shouted anti-ELAB and anti-police slogans while exiting New Year's Eve celebration gatherings on the Avenue of Stars, Tsim Sha Tsui, Yau Tsim Mong district (Hong Kong) (coded as Hong Kong-Yau Tsim Mong).",0,crowd size=no report,1611094731
CHN9324,01 January 2021,2021,1,Demonstrations,Protests,Peaceful protest,Protesters (China),NA,6,NA,NA,0,60,NA,156,East Asia,China,Hong Kong,North,NA,Hong Kong - North,22.492,114.139,1,Ming Pao,Subnational,"On 1 January 2021, citizens protested at the Lo Wu Correctional Institution in North district (Hong Kong) (coded as Hong Kong-North) for the release of all political prisoners. Similar demonstrations were held in multiple districts across Hong Kong.",0,crowd size=no report,1611094734
CHN9325,01 January 2021,2021,1,Demonstrations,Protests,Peaceful protest,Protesters (China),HKCTU: Hong Kong Confederation of Trade Unions; Hong Kong Labour Party; Labor Group (China),6,NA,NA,0,60,NA,156,East Asia,China,Hong Kong,Sai Kung,NA,Hong Kong - Sai Kung,22.307,114.26,1,Radio Free Asia,International,"On 1 January 2021, HKCTU and Hong Kong Labour Party protested at the Sai Kung Public Pier in Sai Kung district (Hong Kong) (coded as Hong Kong-Sai Kung) for the release of all political prisoners. Similar demonstrations were held in multiple districts across Hong Kong.",0,crowd size=no report,1611094734
CHN9326,01 January 2021,2021,1,Demonstrations,Protests,Peaceful protest,Protesters (China),LSD: League of Social Democrats,6,NA,NA,0,60,NA,156,East Asia,China,Hong Kong,Sha Tin,NA,Hong Kong - Sha Tin,22.378,114.198,1,Radio Free Asia,International,"On 1 January 2021, LSD protested in New Town Plaza in Shatin district (Hong Kong) (coded as Hong Kong-Sha Tin) for the release of all political prisoners. Similar demonstrations were held in multiple districts across Hong Kong.",0,crowd size=no report,1611094734
CHN9322,01 January 2021,2021,1,Demonstrations,Protests,Peaceful protest,Protesters (China),The Alliance: Hong Kong Alliance in Support of Patriotic Democratic Movements of China; CHRF: Civil Human Rights Front; Five Demands Movement; Former Government of China (2017-) Hong Kong Special Administrative Region; LSD: League of Social Democrats,6,NA,NA,0,60,NA,156,East Asia,China,Hong Kong,Central and Western,NA,Hong Kong - Central and Western,22.281,114.16,1,Radio Free Asia; Ming Pao,Subnational-International,"On 1 January 2021, four CHRF and The Alliance members (including a former legislator) drove a truck from Lai Chi Kok Reception Centre to the Legislative Council in Central district (Hong Kong) (coded as Hong Kong-Central and Western), passing through popular protest landmarks and calling for the release of all political prisoners. They displayed a banner that collected citizens' wishes and signatures, and advocated (held up the gesture) for the five demands. Outside the Court of Final Appeal, LSD members also demonstrated and called for the same cause. Similar demonstrations were held in multiple districts across Hong Kong.",0,crowd size=at least 4,1680633495
CHN9318,31 December 2020,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (China),Former Government of China (2017-) Hong Kong Special Administrative Region; LSD: League of Social Democrats,6,Protesters (China),NA,6,66,NA,156,East Asia,China,Hong Kong,Central and Western,NA,Hong Kong - Central and Western,22.281,114.16,1,HK01,Subnational,"On 31 December 2020, citizens, LSD members, former legislators demonstrated at the Court of Final Appeal in Central district (Hong Kong) (coded as Hong Kong-Central and Western) in support of pro-democracy media mogul Jimmy Lai ahead of his trial for National Security Law violations. A nationalist group also held a protest outside the Court against the media mogul.",0,crowd size=no report,1611094732
CHN9319,31 December 2020,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (China),Labor Group (China),6,NA,NA,0,60,NA,156,East Asia,China,Hong Kong,Tai Po,NA,Hong Kong - Tai Po,22.443,114.165,1,HK01,Subnational,"On 31 December 2020, dozens of construction workers protested outside a housing development site on Lo Fai Rd, Tai Po district (Hong Kong) (coded as Hong Kong-Tai Po) to demand for wage arrears. They blocked the entrances with water-safety barriers and screens to stop vehicles from entering or exiting.",0,crowd size=dozens,1611094732
CHN9320,31 December 2020,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (China),NA,6,NA,NA,0,60,NA,156,East Asia,China,Hong Kong,Wong Tai Sin,NA,Hong Kong - Wong Tai Sin,22.336,114.199,1,Apple Daily Hong Kong,Subnational,"On 31 December 2020, a dozen citizens hiked to the peak of Lion Rock Mountain in Wong Tai Sin district (Hong Kong) (coded as Hong Kong-Wong Tai Sin) to show support for social movements, demonstrators and activists in the fight for democracy, freedom, human rights, rule of law and justice. They held up a neon sign that spelt out 'FAITH' as part of the demonstration.",0,crowd size=a dozen,1680633665
CHN9316,30 December 2020,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (China),NA,6,NA,NA,0,60,NA,156,East Asia,China,Hong Kong,Central and Western,NA,Hong Kong - Central and Western,22.281,114.16,1,Ta Kung Pao,Subnational,"On 30 December 2020, patriotic citizen group 'Johnny Patriotic 101' staged a sit-in and protested overnight at the Court of Final Appeal in Central district (Hong Kong) (coded as Hong Kong-Central and Western) ahead of the trial of media mogul Jimmy Lai, calling for the decision regarding his bail release to be redacted. They held up a banner and chanted slogans.",0,crowd size=no report,1646432974
CHN9314,29 December 2020,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (China),Government of China (2017-) Hong Kong Special Administrative Region; HKFTU: Hong Kong Federation of Trade Unions; Labor Group (China),6,NA,NA,0,60,NA,156,East Asia,China,Hong Kong,Central and Western,NA,Hong Kong - Central and Western,22.281,114.16,1,Wen Wei Po; Facebook,New media-Subnational,"On 29 December 2020, HKFTU members and legislators, and transportation industry labour union representatives petitioned and demonstrated at the Government Headquarters in Central district (Hong Kong) (coded as Hong Kong-Central and Western) for traffic design improvements at the newly launched Tuen Mun-Chek Lap Kok Link/Tunnel Road. They held up placards and spoke to express their demands.",0,crowd size=no report,1611094731
CHN9310,28 December 2020,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (China),The Alliance: Hong Kong Alliance in Support of Patriotic Democratic Movements of China; Former Government of China (2017-) Hong Kong Special Administrative Region,6,NA,NA,0,60,NA,156,East Asia,China,Hong Kong,Central and Western,NA,Hong Kong - Central and Western,22.281,114.16,1,Apple Daily Hong Kong,Subnational,"On 28 December 2020, five members of The Alliance (including a former legislator) marched to and petitioned at the Liaison Office of the Central People's Government in the Hong Kong Special Administrative Region, Western district (Hong Kong) (coded as Hong Kong-Central and Western) for the release of a citizen journalist, a human rights lawyer, and 12 fugitives arrested in mainland China while attempting to flee for Taiwan (all facing charges related to their involvement in the anti-ELAB movement).",0,crowd size=5,1611094731
CHN9311,28 December 2020,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (China),NA,6,NA,NA,0,60,NA,156,East Asia,China,Hong Kong,Kwai Tsing,NA,Hong Kong - Kwai Tsing,22.367,114.133,1,HK01,Subnational,"On 28 December 2020, hundreds of housing estate residents shouted slogans and displayed placards from their own housing units in Kwai Fong Gardens, Kwai Tsing district (Hong Kong) (coded as Hong Kong-Kwai Tsing) against an increase in management fees.",0,crowd size=hundreds,1611094732
CHN9308,28 December 2020,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (China),Students (China),6,NA,NA,0,60,NA,156,East Asia,China,Hong Kong,NA,NA,Hong Kong,22.322,114.177,3,Apple Daily Hong Kong,Subnational,"On 28 December 2020, six secondary school students and student group Poliscientia members held a street counter in Hong Kong and demonstrated against recent government plans to reform school subject Liberal Studies, viewed by some as a politically-motivated crackdown on pro-protest sentiments. They talked through speakers to express their demands. The event was ended early after the police issued fines that cited COVID-19 public gathering restrictions.",0,crowd size=6,1618442042
CHN9309,28 December 2020,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (China),Labor Group (China),6,NA,NA,0,60,NA,156,East Asia,China,Hong Kong,NA,NA,Hong Kong,22.322,114.177,3,Inmediahk.net,Subnational,"On 28 December 2020, labour union workers (community and residential care services) held a press conference and demonstrated in Hong Kong for the relaxing of the deadline for residential care homes workers to receive mandatory coronavirus testing. They held up placards to express their demands.",0,crowd size=no report,1680633865
CHN9301,25 December 2020,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (China),Catholic Christian Group (China),6,NA,NA,0,60,NA,156,East Asia,China,Hong Kong,NA,NA,Hong Kong,22.322,114.177,3,RTHK; Ming Pao,Subnational,"On 25 December 2020, Concerning Grassroots' Housing Rights Alliance, CSSA Alliance and the Justice & Peace Commission of the HK Catholic Diocese demonstrated in Hong Kong to urge the government to strengthen regulations for sub-divided flats rental market. They held up placards.",0,crowd size=no report,1618442042
