text,cmp_code,id,immigration_related
at the same time as introducing a capital expansion fund for sixth form providers.,506,51110_201912,FALSE
The different parts of the system don’t work well together and this creates huge gaps and inefficiencies.,303,53321_202002,FALSE
the presence in Australia of people of many cultural backgrounds greatly enriches our society and should be celebrated.,607,63110_201008,FALSE
"young Australians with a disability, and",503,63621_201905,FALSE
and higher productivity per employee.,408,53320_200705,FALSE
"$5 million to construct the SWELL aquatic centre, Palmerston, NT.",502,63620_202205,FALSE
The Coalition will invest $10.3 million to continue the Participation Grant program.,502,63620_202205,FALSE
"Over 91 per cent of PBS scripts are dispensed to concession card holders, pensioners and low income earners, meaning they pay no more than $6.80 per script or receive their script for free if they reach the PBS safety net.",504,63810_202205,FALSE
"We will put in place a fund for the provision of a countrywide network of youth cafés where young people can meet in a safe, legal and healthy environment.",706,53620_200705,FALSE
"Il faut imaginer l'impact positif que pourra avoir l'injection de plusieurs millions de dollars supplémentaires, chaque année, dans les services publics de santé et d'éducation en Gaspésie et aux Îles-de-la-Madeleine ou en Abitibi–Témiscamingue, par exemple.",504,62901_200601,FALSE
"The money is heading straight back out of the country, leaving only increased debts for Irish taxpayers.",415,53951_201102,FALSE
FISCAL RESPONSIBILITY AND NATIONAL COMPETITIVENESS,H,53520_201602,FALSE
The Social Democrats aim to change this.,202.1,53321_201602,FALSE
The Constitution wisely distributes important roles in the area of national security to both the President and Congress.,203,61620_201211,FALSE
We also provided funding for breast and cervical cancer screening.,504,63620_202205,FALSE
"It represents the economics of inclusion, the path by which hopes become achievements.",402,61620_200811,FALSE
"Months later, it was suggested that Telstra and Optus might offer their existing networks to be incorporated into the national broadband network.",411,63810_201008,FALSE
"and NATO partners to promote an active, rights-based foreign policy for our mutual defence.",104,51421_201505,FALSE
AUSTRALIA AND THE WORLD,NA,63410_201309,FALSE
It will only strengthen their military dictatorship.,102,61620_202011,FALSE
The Green Party fully recognises the vital role marriage plays in our society.,603,53110_200705,FALSE
The Greens also have a plan to support a sustainable and affordable housing industry.,504,63110_201309,FALSE
A MODERN INDUSTRIAL STRATEGY,H,51620_201706,FALSE
Taking the Climate Change Fight Global,501,62623_201910,FALSE
and improve the liveability of local communities.,504,63320_201905,FALSE
An tAcht um Phleanáil,502,53420_200705,FALSE
Sport improves the health and well-being of millions of Australians.,502,63810_201905,FALSE
"We acknowledge and appreciate the significant contributions of all of America's First Responders, who keep us safe and secure and who are ever ready to come to our aid.",706,61620_200811,FALSE
An improved rail system will make Canada more economically competitive and provide thousands of new jobs.,410,62110_200810,FALSE
Dormant Accounts Fund,NA,53520_200705,FALSE
"and to be informed, engaged citizens of our communities, our country, and our planet.",506,61320_202011,FALSE
It is unacceptable that Northern Ireland has never hosted the main national event for Armed Forces Day in the UK.,601.1,51903_201912,FALSE
"(2) Jim Chalmers, House of Representatives, Hansard, 23 March 2017.",NA,63810_202205,FALSE
We are expanding support to counselling services such as 1800RESPECT and Mensline.,504,63810_201607,FALSE
"When growth slows, government revenue falls.",410,63810_201905,FALSE
13. Keeping the Central Coast safe,H,63621_202205,FALSE
and stole $30 billion from the Public Service Pension Fund to balance the books.,304,62320_200406,FALSE
"as well as more seats, services and stations.",411,51902_201706,FALSE
Labor's Plan to Improve the NBN,H,63320_201905,FALSE
"By 2005 there will be 10,000 more doctors and 20,000 more nurses, with ward sisters in charge of ward budgets.",504,51320_200106,FALSE
STANDING UP FOR SMALL BUSINESS,H,63110_201607,FALSE
Labor will always provide city-centric government and Regional Australians will always be the poorer for it.,503,63810_201008,FALSE
"Supporting home ownership, with around 26,000 NSW HomeBuilder applications to build a new home or substantially renovate an existing home, and more than 12,000 homes bought in NSW under the Home Guarantee Scheme.",409,63621_202205,FALSE
"In keeping with these principles, in the next Parliament, we will work on the following key initiatives.",407,62320_200601,FALSE
Membership will help guarantee the freedoms of the new democracies in central and eastern Europe.,000,51320_200106,FALSE
"Invest in dementia services, ensuring that support is available for all affected by this debilitating disease, including families and carers.",504,51110_201505,FALSE
"States without a scheme will not be forced to participate in the national scheme, but will be invited to join.",501,63320_201905,FALSE
supports small business;,403,63620_202205,FALSE
Deliver the smallest class sizes in the history of the State,506,53320_201602,FALSE
We’ve already made historic progress.,305,61320_201211,FALSE
"65Building Strong, Vibrant & Safe Communities across Ireland",NA,53620_202002,FALSE
"We have signed the Pacific Agreement on Closer Economic Relations and agreements with Indonesia, Peru and Hong Kong.",101,63620_201905,FALSE
"In 2019, 175,000 children received average subsidies of €64 per week.",504,53520_202002,FALSE
Difficult choices about priorities must be faced.,301,51421_199705,FALSE
"From the very beginning, Fianna Fáil has led the national debate on Europe.",108,53620_200705,FALSE
"Since March 2022, these families are receiving a higher subsidy of up to 95 per cent for their second and subsequent children aged 5 and under.",504,63810_202205,FALSE
We are determined through our Next Steps Forward to address each of these issues.,000,53620_200705,FALSE
Elle est le reflet de l’âme des peuples et de l’imagination de ses créateurs.,602,62901_200810,FALSE
"It means effective rehabilitation programmes for prisoners and other offenders,",504,53951_200705,FALSE
"1,000 jobs.",701,63620_201607,FALSE
"We’d all be healthier, happier and more confident.",503,51110_201505,FALSE
"and undertake a new review of Canada Post to make sure that it provides high-quality service at a reasonable price to Canadians, no matter where they live.",303,62420_201510,FALSE
NOTRE BUT,NA,62623_201105,FALSE
Labour introduced the Winter Fuel Payment.,305,51320_200106,FALSE
Cette question préoccupe les organisations de défense de l’environnement et des droits de la personne depuis longtemps.,406,62901_200810,FALSE
Community Sector Representative on the Board of Taxation – ensuring civil society voices are heard in tax design and review processes.,202.4,63320_201905,FALSE
"De ce fait, il ne peut jouer pleinement son rôle dans la définition d’un monde dans lequel il s’inscrit.",301,62901_200406,FALSE
Labour will end the cuts to youth services.,706,51320_201706,FALSE
This will require us to better align public and private sources of investment in research.,411,53520_201602,FALSE
We will work towards reclassification of Tier 3 AHBs to ‘off balance sheet’ status to enable additional funding to be raised by AHBs for the delivery of homes.,504,53321_202002,FALSE
Sinn Féin priorities: All-Ireland economic development and implementing an all-Ireland investment and jobs strategy working with our colleagues in the Assembly,404,53951_202002,FALSE
Promoting responsible fatherhood will have longlasting benefits for families and for communities.,603,61620_200411,FALSE
"research,",504,53420_200705,FALSE
This and other measures will encourage dentists to return to the Scottish Health Service.,402,51902_199705,FALSE
HELP PAY THE BILL: The $4 billion in special funds for the National Waiting Times Reduction Strategy will be deployed alongside provincial and territorial funding to hit the target of eliminating inappropriate waiting times in these five priority areas.,504,62420_200406,FALSE
Persons with disabilities are nearly twice as likely to be self-employed as the general population.,503,61620_201611,FALSE
"and increase energy productivity, including Carbon Capture and Storage (CCS) and renewable energy.",416.2,63810_202205,FALSE
"As a state with a population of 67 million, Britain will not be in a position to call the shots in negotiations with the US, with its population of 328 million.",102,51901_201912,FALSE
"A record 220,000 Australians are now in trade apprenticeships – the most since records began in 1963.",411,63621_202205,FALSE
"Labor has no economic plan for South Australia, or the rest of the country.",305.1,63621_202205,FALSE
especially of journalists,201.2,61320_201611,FALSE
This would crowd out the market for coal and gas companies to buy cheap offsets and keep polluting as normal so that pollution in the atmosphere stays the same.,416.2,63110_202205,FALSE
"Properties built on registered brownfield sites will be exempt from stamp duty on first sale, up to the £250,000 threshold.",402,51951_201505,FALSE
» It was the decision of Sinn Féin’s Pearse Doherty to go to the courts to vindicate the rights of the people of Donegal South-West which forced the Government to hold the long-overdue by-election.,202,53951_201102,FALSE
Prohibition of Use of Weaponry: We will enact a single Act listing the types of weaponry the Irish Defence Forces are prohibiting from using or facilitating the use of.,105,53520_201102,FALSE
"and, increasingly, local businesses and the ordinary taxpayer",000,53110_200705,FALSE
"Continue the strong New Democrat leadership for policies that prevent the abuse of any individual taken into the custody of the Canadian Forces abroad, for example in Afghanistan, regardless of whether that individual remains in Canadian custody or is transferred to the custody of another country.",201,62320_200810,FALSE
"Ensure that ownership and governances issues in the new Maternity Hospital on St Vincent’s site are open, transparent and that the facility is state owned.",504,53620_202002,FALSE
Our Government’s response to the global pandemic has followed a uniquely Australian plan.,601.1,63620_202205,FALSE
The National Innovation and Science Agenda,H,63620_201607,FALSE
"Build a $2 billion publicly owned EV fast charging network, ensuring that you’ll always have a place to fuel up",411,63110_202205,FALSE
"Improved local health services, including the Central Coast Clinical School and Research Institute, purchase of a third Central Coast Linear Accelerator, and development of the Glen for Women drug and alcohol rehabilitation centre.",504,63620_202205,FALSE
"A re-elected Coalition Government will: invest $7.1 billion over 11 years in a nation-shaping Energy Security and Regional Development Plan that will unlock the potential of next generation energy hubs in the Northern Territory, North and Central Queensland, the Pilbara region of Western Australia and the Hunter region in New South Wales.",404,63621_202205,FALSE
Strengthen the rules of conduct for lobbying.,304,62110_200810,FALSE
Create a new Ministry for the Interior that will be fully committed to upholding human rights.,201.2,51110_201912,FALSE
"We would introduce a Citizen’s Pension, paid to all pensioners regardless of contribution record from 2016, so no pensioner will live in poverty.",504,51110_201505,FALSE
Le projet d’élargissement de la Voie maritime constitue la menace la plus sérieuse.,501,62901_200406,FALSE
"We will set a deadline of 2017, by which all significant government transactions with business will be available online.",303,53520_201602,FALSE
Continuing to provide record funding for schools.,506,63620_202205,FALSE
